NAME OF THE COMPOSITE,DENSITY,HARDNESS,PRIMARY CHEMICAL COMPONENT,PRIMARY CHEMICAL COMPOSITION,SECONDARY CHEMICAL COMPOSITION,TERTIARY  CHEMICALCOMPOSITION,YOUNGS MODULUS,YIELD STRENGTH,TENSILE STRENGTH,MODULUS OF ELASTISITY,THERMAL CONDUCTIVITY,FORMABILITY,THERMAL EXPANSION,DURABILITY,RECYCLABILITY,SPECIFIC HEAT CAPACITY,CORROSIVE ENVIRONMENT,OPERATING TEMPERATURE,COST EFFECTIVENESS,STRENGTH TO WEIGHT RATIO,CORROSION RESISTANCE,FATIGUE RESISTANCE
Magnesium-Zirconium,1.8,110,Mg,90.0,10.0,0,50.0,160,220.0,50.0,145,Medium,23.0,High,Medium,1.0,Medium,200,Medium,High,Medium,Medium
Magnesium-Graphene,1.7,120,Mg,95.0,5.0,0,60.0,180,250.0,60.0,210,High,26.0,High,Medium,1.0,Medium,200,Medium,High,Medium,Medium
Magnesium-Nano Particles,1.7,100,Mg,95.0,5.0,0,65.0,190,260.0,65.0,180,Medium,25.0,Medium,Medium,1.0,Medium,200,Medium,High,Medium,Medium
Magnesium-Carbon Nanotubes,1.75,130,Mg,98.0,2.0,0,70.0,200,280.0,70.0,200,Medium,25.0,High,Medium,1.0,Medium,200,Medium,High,Medium,Medium
Titanium-Carbon,4.9,320,Ti,90.0,10.0,0,105.0,230,300.0,105.0,25,Medium,9.0,High,Medium,0.52,High,600,Medium,Medium,High,High
Titanium-Silicon,4.5,300,Ti,90.0,10.0,0,110.0,240,320.0,110.0,20,Medium,10.0,High,Medium,0.52,High,600,Medium,Medium,High,High
Titanium-Alumina,4.5,350,Ti,90.0,10.0,0,100.0,210,290.0,80.0,180,Medium,23.0,High,Medium,0.52,High,600,Medium,Medium,High,High
Titanium-Graphite,4.5,280,Ti,90.0,10.0,0,110.0,240,320.0,110.0,30,Medium,9.0,High,Medium,0.52,High,600,Medium,Medium,High,High
Titanium-Boron,4.5,400,Ti,90.0,10.0,0,110.0,250,330.0,110.0,22,Medium,8.0,High,Medium,0.52,High,600,Medium,Medium,High,High
Titanium-Aluminum,4.43,250,Ti,90.0,10.0,0,115.0,230,300.0,115.0,20,Medium,8.6,High,High,0.52,High,600,Medium,Medium,High,High
Titanium-Zirconium,4.55,350,Ti,90.0,10.0,0,110.0,260,340.0,110.0,17,Medium,9.0,High,Medium,0.52,High,600,Medium,Medium,High,High
Titanium-Nickel,6.5,320,Ti,90.0,10.0,0,120.0,300,400.0,120.0,20,Medium,10.0,High,Medium,0.52,High,600,Medium,Medium,High,High
Titanium-Copper,5.0,290,Ti,90.0,10.0,0,110.0,250,320.0,110.0,22,Medium,9.5,High,Medium,0.52,High,600,Medium,High,High,High
Titanium-Niobium,5.0,310,Ti,90.0,10.0,0,105.0,200,300.0,15.0,25,Medium,8.0,High,Medium,0.52,High,600,Medium,High,High,High
Titanium-Molybdenum,5.0,330,Ti,90.0,10.0,0,120.0,120,280.0,370.0,16,Medium,8.5,High,Medium,0.52,High,600,Medium,High,High,High
Titanium-Vanadium,4.5,320,Ti,90.0,10.0,0,120.0,250,320.0,120.0,25,Medium,9.2,High,Medium,0.52,High,600,Medium,High,High,High
Titanium-Chromium,4.7,340,Ti,90.0,10.0,0,125.0,260,340.0,125.0,22,Medium,9.0,High,Medium,0.52,High,600,Medium,High,High,High
Titanium-Tantalum,7.0,360,Ti,90.0,10.0,0,150.0,300,400.0,150.0,57,Medium,6.5,High,Medium,0.52,High,600,Medium,High,High,High
Titanium-Magnesium,4.3,280,Ti,90.0,10.0,0,90.0,160,220.0,90.0,30,Medium,12.0,Medium,High,0.52,High,600,Medium,High,High,High
Titanium-Zirconium-Nickel,5.0,310,Ti,85.0,10.0,5,130.0,280,360.0,130.0,18,High,8.0,High,Medium,0.52,High,600,Medium,High,High,High
Titanium-Silicon ,4.5,300,Ti,90.0,10.0,0,110.0,240,320.0,110.0,20,Medium,10.0,High,Medium,0.52,High,600,Medium,High,High,High
Titanium-Carbon Nanotubes ,4.6,350,Ti,98.0,2.0,0,130.0,280,370.0,130.0,35,Medium,9.0,High,Medium,0.52,High,600,Medium,High,High,High
Titanium-Nano Particles,4.5,330,Ti,95.0,5.0,0,120.0,250,330.0,120.0,25,Medium,9.0,High,Medium,0.52,High,600,Medium,High,High,High
Palladium-Aluminum,12.0,150,Pd,90.0,10.0,0,140.0,230,320.0,140.0,75,High,12.0,High,High,0.244,High,700,Low,Medium,High,Medium
Palladium-Silicon Carbide,12.1,160,Pd,90.0,10.0,0,200.0,250,400.0,200.0,100,Medium,13.0,High,Medium,0.244,High,700,Low,Medium,High,Medium
Palladium-Carbon,12.0,155,Pd,90.0,10.0,0,180.0,250,330.0,180.0,75,Medium,13.0,High,Medium,0.244,High,700,Low,Medium,High,Medium
Palladium-Titanium,11.6,150,Pd,90.0,10.0,0,130.0,220,300.0,130.0,70,High,11.0,High,Medium,0.244,High,700,Low,Medium,High,Medium
Palladium-Nickel,11.8,160,Pd,90.0,10.0,0,140.0,230,320.0,140.0,80,Medium,12.0,High,Medium,0.244,High,700,Low,Medium,High,Medium
